date,year,month,Reservas Internacionales Netas RIN = RIB - OECP,Reservas Internacionales Brutas RIB,Obligaciones con el exterior a corto plazo OECP,Crédito Neto al Sector Público CNSP,Total,col_8,col_9,BASE MONETARIA BM,Billetes y Mo- nedas en Poder del Público C,MN,UFV,ME,TOTAL
2004-01-01,2004,1,6995268.874000001,7952113.470000001,956844.5959999999,2459075.041,2496801.733,2328139.915,168661.818,4720874.01635,2690186.51022,638557.0220799999,,1392130.4834080003,2030687.5054880003
2004-02-01,2004,2,6760038.744999999,7707079.722999999,947040.9779999999,2460965.138,2551615.091,2347644.011,203971.08,4405797.485930001,2702238.812,635721.6176900001,,1067837.0563410001,1703558.6740310001
2004-03-01,2004,3,7004280.385,7909395.59,905115.2050000001,2026529.176,2611810.088,2388288.724,223521.364,4078583.8740800014,2494378.937,616152.7043399999,,968052.2994504005,1584205.0037904005
2004-04-01,2004,4,6243883.249000001,7065351.231000001,821467.9820000001,2344049.64,2924422.023,2668465.473,255956.55,4185355.8658100003,2672383.802,637007.52735,,875964.5361101995,1512972.0634601996
2004-05-01,2004,5,6459503.897000001,7276850.282000001,817346.385,2322713.1389999995,2651596.7309999997,2420688.962,230907.769,4205389.738370002,2607354.693,673688.40651,,924346.6397829999,1598035.0462929998
2004-06-01,2004,6,6373649.139,7249974.630000001,876325.4909999999,2149551.044999999,2473963.745,2610291.933,-136328.188,4328791.012231003,2777063.094,822795.1320600001,,728932.7924208,1551727.9244808
2004-07-01,2004,7,6816625.896000001,7655434.250000001,838808.354,2325825.213,2183913.193,2376140.119,-192226.926,4713664.0713468995,2969547.884,813738.3916099999,,930377.7948231,1744116.1864331
2004-08-01,2004,8,7147682.455,8023976.137,876293.682,2405307.8939999994,2160394.7909999997,2354809.303,-194414.512,4808487.16373,2953561.195,970428.8392,,884497.1292876003,1854925.9684876003
2004-09-01,2004,9,7585826.488,8749258.057,1163431.569,1888405.359,2169959.2019999996,2360895.101,-190935.899,4286032.18236,2995944.728,951501.1812,,338586.2733287999,1290087.4545288
2004-10-01,2004,10,7968009.9799999995,9132782.578,1164772.598,1787264.352,2179241.0439999998,2370034.846,-190793.802,4495132.3851,3118356.783,913714.99009,,463060.6115354999,1376775.6016254998
2004-11-01,2004,11,8496477.467,9734208.901,1237731.4340000001,1391265.9389999998,2188633.321,2373563.789,-184930.468,4433610.5057999985,3109938.392,936979.23436,,386692.8932558,1323672.1276158001
2004-12-01,2004,12,9031337.981,10224678.534,1193340.553,1905030.993,2182129.534,2458305.988,-276176.454,5769218.229119999,3865381.4359999998,1195564.0620799998,,708272.7303671999,1903836.7924471996
2005-01-01,2005,1,8179865.819999999,9323292.019,1143426.199,2149129.054,2110832.5373415,2379382.1282995003,-268549.590958,5163736.7333945,3320524.881,1116101.1314499998,,727110.720938,1843211.8523879997
