ts,buy_count,buy_min,buy_median,buy_max,sell_count,sell_min,sell_median,sell_max,mid_BOB_per_USDT
2025-11-07 23:32:38 EST,12,10.67,11.15,16.0,18,6.5,8.25,10.56,9.7
2025-11-08 00:11:50 EST,11,10.67,11.18,16.0,18,6.5,8.25,10.56,9.715
2025-11-08 01:16:54 EST,10,10.68,11.2,16.0,17,6.5,8.0,10.56,9.6
2025-11-08 02:11:09 EST,10,10.68,11.2,16.0,17,6.5,8.0,10.56,9.6
2025-11-08 03:14:58 EST,10,10.68,11.2,16.0,17,6.5,8.0,10.56,9.6
2025-11-08 04:11:32 EST,10,10.66,11.2,16.0,17,6.5,8.0,10.56,9.6
2025-11-08 05:11:33 EST,10,10.7,11.2,16.0,18,6.5,8.25,10.56,9.725
2025-11-08 06:09:25 EST,12,10.7,10.735,16.0,20,6.98,10.2,10.6,10.4675
2025-11-08 07:21:36 EST,16,10.64,11.06,16.0,20,7.0,10.225,10.6,10.6425
2025-11-08 08:18:27 EST,18,10.67,11.015,16.0,20,6.97,10.005,10.6,10.51
2025-11-08 09:10:09 EST,20,10.65,10.765,13.5,20,8.5,10.504999999999999,10.63,10.635
